SampleID,SampleSubject,SampleDate,SampleCollectedBy,SampleNotes,SampleBox,InLab,Received,Priority,mist netting latitude,mist netting longitude,net length/area,capturing time,sex,age,female reproductive status ,number of pellets,body mass,forearm
NWR-122,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,M,J,,,17.5,46
NWR-123,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.56530543,-92.696214,,,F,J,NR,,19.8,46
NWR-124,,,"J. O'Keefe (IN, IL)",,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,A,PL,,20.9,46
NWR-125,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,F,A,L,,20.4,52
NWR-126,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.434158,-92.986717,,,M,A,,,18.7,46
NWR-127,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.56530543,-92.696214,,,M,A,,,19.2,45
NWR-128,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.56530543,-92.696214,,,F,A,PL,,20.1,49
NWR-129,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.5788157,-91.89688037,,,F,A,L,,23.5,50
NWR-130,EPFU,,"J. O'Keefe (IN, IL)",extracted,NWR Bat Fecals Box 1,y,11/13/24,,40.5788157,-91.89688037,,,F,A,L,,19.4,48
NWR-151,EPFU,9/5/24,T. Raad UNO,extracted,NWR Bat Fecals Box 1,y,9/6/24,microbiome,41.164674,-95.896408,by hand from roost,22:10,M,Adult,,5,22.5 g,46 mm
NWR-152,EPFU,9/5/24,T.Raad UNO,extracted,NWR Bat Fecals Box 1,y,9/6/24,microbiome,41.1627321,-95.8958538,9m,22:25,F,Adult,NR,2,26.5 g ,46 mm
NWR-153,EPFU,9/5/24,T.Raad UNO,extracted,NWR Bat Fecals Box 1,y,9/6/24,microbiome,41.1627321,-95.8958538,9m,23:25,F,Adult,NR,3,27.0 g,45 mm
NWR-154,EPFU,9/11/24,T.Raad UNO,extracted,NWR Bat Fecals Box 1,y,9/13/24,microbiome,40.5912,-96.1223,"9m, double high",21:30,F,Adult,Post-lactating,4,19.75 g,45.6 mm
NWR-155,EPFU,9/11/24,T.Raad UNO,extracted,NWR Bat Fecals Box 1,y,9/13/24,microbiome,40.5912,-96.1223,"9m, double high",21:31,F,Adult,NR,9,25.5 g,45 mm
NWR-156,NYHU,9/11/24,T.Raad UNO,,NWR Bat Fecals Box 1,y,9/13/24,host DNA,40.5912,-96.1223,9m,21:57,F,Juvenile,NR,3,14 g,38 mm
NWR-001,EPFU,9/12/24,RP (Highlands) please share with Katherine and Olivia ,,,n,,,35.0165837,-83.2232563,4m,19:51,M,A ,,,14.5,44
NWR-055,EPFU,6/18/24,KCI (NC),,,n,,,,,,,,,,,,
NWR-056,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-057,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-058,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-060,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-061,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-071,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-072,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-073,EPFU,6/27/24,KCI (NC),,,n,,,,,,,,,,,,
NWR-074,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-075,EPFU,6/18/24,KCI (NC),,,n,,,,,,,,,,,,
NWR-076,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-078,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-079,,,KCI (NC),,,n,,,,,,,,,,,,
NWR-080,,,KCI (NC),,,n,,,,,,,,,,,,
