"SampleID"	"ExtractID"	"SequenceID"	"steps_remaining"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"ExtractBox"	"ExtractNotes"	"Extract.Volume..uL."	"Total.DNA..ng."	"Resuspended.Extract.Concentration..ng.uL."	"Resuspended.Extract.Volume..uL."	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"InLab"	"Received"	"Priority"	"mist.netting.latitude"	"mist.netting.longitude"	"net.length.area"	"capturing.time"	"sex"	"age"	"female.reproductive.status"	"number.of.pellets"	"body.mass"	"forearm"	"CollectionDate"	"Subject"	"Subj_Certainty"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"
"NWR-153"	"NWR-153-E5"	"NWR-153-S22"	"sample extracted and sequenced"	"nwr1"	"S22"	22	8	NA	NA	NA	2024-11-05	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	95.25	NA	NA	1.3	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"23:25"	"F"	"Adult"	"NR"	"3"	"27.0 g"	"45 mm"	2024-09-05	"EPFU"	"yes"	27	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531	"bats"	2025-02-20	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-09291"	"Angel-MinION"	2	3	1500	10	15	"yes"	50
"NWR-151"	"NWR-151-E2"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-16	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	50	3.765	NA	NA	0.1	"T. Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.164674	-95.896408	"by hand from roost"	"22:10"	"M"	"Adult"	""	"5"	"22.5 g"	"46 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-151"	"NWR-151-E3"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-16	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	50	1.85	NA	NA	0	"T. Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.164674	-95.896408	"by hand from roost"	"22:10"	"M"	"Adult"	""	"5"	"22.5 g"	"46 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-152"	"NWR-152-E2"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-16	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	50	0.31	NA	NA	0	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"22:25"	"F"	"Adult"	"NR"	"2"	"26.5 g "	"46 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-152"	"NWR-152-E3"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-16	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	50	0.815	NA	NA	0	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"22:25"	"F"	"Adult"	"NR"	"2"	"26.5 g "	"46 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-152"	"NWR-152-E4"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-31	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	4.8	NA	NA	0.2	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"22:25"	"F"	"Adult"	"NR"	"2"	"26.5 g "	"46 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-152"	"NWR-152-E5"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-11-05	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	13.2	0.512	20	0.2	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"22:25"	"F"	"Adult"	"NR"	"2"	"26.5 g "	"46 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-153"	"NWR-153-E2"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-16	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	50	1.825	NA	NA	0	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"23:25"	"F"	"Adult"	"NR"	"3"	"27.0 g"	"45 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-153"	"NWR-153-E3"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-16	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	50	NA	NA	NA	NA	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"23:25"	"F"	"Adult"	"NR"	"3"	"27.0 g"	"45 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-153"	"NWR-153-E4"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-21	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	3.12	NA	NA	0.2	"T.Raad UNO"	"extracted"	"y"	"9/6/24"	"microbiome"	41.1627321	-95.8958538	"9m"	"23:25"	"F"	"Adult"	"NR"	"3"	"27.0 g"	"45 mm"	2024-09-05	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-154"	"NWR-154-E5"	"NWR-154-S16"	"sample extracted and sequenced"	"nwr1"	"S16"	16	15	NA	NA	NA	2024-11-05	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	24.675	0.68	20	0.3	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:30"	"F"	"Adult"	"Post-lactating"	"4"	"19.75 g"	"45.6 mm"	2024-09-11	"EPFU"	"yes"	11	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531	"bats"	2025-02-20	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-09291"	"Angel-MinION"	2	3	1500	10	15	"yes"	50
"NWR-154"	"NWR-154-E2"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-18	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	4.1	NA	NA	0.2	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:30"	"F"	"Adult"	"Post-lactating"	"4"	"19.75 g"	"45.6 mm"	2024-09-11	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-154"	"NWR-154-E3"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-18	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	2.98	NA	NA	0.1	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:30"	"F"	"Adult"	"Post-lactating"	"4"	"19.75 g"	"45.6 mm"	2024-09-11	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-154"	"NWR-154-E4"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-21	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	2.56	NA	NA	0.1	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:30"	"F"	"Adult"	"Post-lactating"	"4"	"19.75 g"	"45.6 mm"	2024-09-11	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-155"	"NWR-155-E2"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-18	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	3	NA	NA	0.1	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:31"	"F"	"Adult"	"NR"	"9"	"25.5 g"	"45 mm"	2024-09-11	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-155"	"NWR-155-E3"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-18	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	2.3	NA	NA	0.1	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:31"	"F"	"Adult"	"NR"	"9"	"25.5 g"	"45 mm"	2024-09-11	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-155"	"NWR-155-E4"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-21	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	1.542	NA	NA	0.1	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:31"	"F"	"Adult"	"NR"	"9"	"25.5 g"	"45 mm"	2024-09-11	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-155"	"NWR-155-E5"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-11-05	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	4.815	NA	NA	0.1	"T.Raad UNO"	"extracted"	"y"	"9/13/24"	"microbiome"	40.5912	-96.1223	"9m, double high"	"21:31"	"F"	"Adult"	"NR"	"9"	"25.5 g"	"45 mm"	2024-09-11	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-156"	"NWR-156-E1"	"NWR-156-S15"	"sample extracted and sequenced"	"nwr1"	"S15"	15	10	NA	NA	NA	2024-12-12	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	""	NA	75	78	NA	NA	1	"T.Raad UNO"	""	"y"	"9/13/24"	"host DNA"	40.5912	-96.1223	"9m"	"21:57"	"F"	"Juvenile"	"NR"	"3"	"14 g"	"38 mm"	2024-09-11	"NYHU"	"yes"	39481	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531	"bats"	2025-02-20	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-09291"	"Angel-MinION"	2	3	1500	10	15	"yes"	50
"NWR-001"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RP (Highlands) please share with Katherine and Olivia "	""	"n"	""	""	35.0165837	-83.2232563	"4m"	"19:51"	"M"	"A "	""	""	"14.5"	"44"	2024-09-12	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-092"	"NWR-092-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-12-12	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	""	NA	75	12.675	NA	NA	0.2	"RP (Highlands) please share with Katherine and Olivia "	""	"y"	"9/23/24"	"TBD - How many host DNAs?"	35.0165837	-83.2232563	"4m"	"22:19"	"F"	"A"	"NR"	""	"4"	"33"	2024-09-12	"MYLE"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-094"	"NWR-094-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-12-12	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	""	NA	75	30.525	NA	NA	0.4	"RP (Highlands) please share with Katherine and Olivia "	""	"y"	"9/23/24"	"host DNA"	35.0165837	-83.2232563	"4m"	"20:02"	"M"	"J"	""	""	"3.75"	"32"	2024-09-12	"MYLE"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-003"	"NWR-003-E2"	"NWR-003-S1"	"sample extracted and sequenced"	"nwr1"	"S1"	1	2	NA	NA	NA	2024-10-17	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	110	NA	NA	5.5	"RP (Highlands) please share with Katherine and Olivia "	"extracted"	"y"	"9/23/24"	"microbiome"	NA	NA	""	""	""	""	""	""	""	""	2024-09-13	"EPFU"	"yes"	32154	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531	"bats"	2025-02-20	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-09291"	"Angel-MinION"	2	3	1500	10	15	"yes"	50
"NWR-003"	"NWR-003-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-10	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	13.875	0.512	20	0.2	"RP (Highlands) please share with Katherine and Olivia "	"extracted"	"y"	"9/23/24"	"microbiome"	NA	NA	""	""	""	""	""	""	""	""	2024-09-13	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-003"	"NWR-003-E3"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-17	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	20	55	NA	NA	2.8	"RP (Highlands) please share with Katherine and Olivia "	"extracted"	"y"	"9/23/24"	"microbiome"	NA	NA	""	""	""	""	""	""	""	""	2024-09-13	"EPFU"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-035"	"NWR-035-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-31	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	10.05	NA	NA	0.1	"BA"	""	"y"	"10/31/24"	"host DNA"	41.71595	-103.67247	NA	NA	"F "	"juvenile"	""	""	"6"	"33.92"	2024-09-23	"MYCI"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-037"	"NWR-037-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-10-31	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	12.225	0.324	NA	0.2	"BA"	""	"y"	"10/31/24"	"microbiome"	41.71595	-103.67247	NA	NA	"M "	"juvenile"	""	""	"7"	"33.09"	2024-09-23	"MYCI"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-039"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"BA"	""	"y"	"10/31/24"	"microbiome"	41.71595	-103.67247	NA	NA	"F"	"juvenile"	""	""	"7.5"	"33.08"	2024-09-23	"MYCI"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-040"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"BA"	""	"y"	"10/31/24"	"host DNA"	42.71776	-102.92947	NA	NA	"M"	"juvenile"	""	""	"9.5"	"38.95"	2024-09-26	"LABO"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-038"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"BA"	""	"y"	"10/31/24"	"host DNA"	42.71776	-102.92947	NA	NA	"M "	"juvenile"	""	""	"13.5"	"43.05"	2024-09-26	"LANO"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-036"	"NWR-036-E1"	"NWR-036-S3"	"sample extracted and sequenced"	"nwr1"	"S3"	3	4	NA	NA	NA	2024-10-31	"SA"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	75	171.75	NA	NA	2.3	"BA"	""	"y"	"10/31/24"	"host DNA"	42.71776	-102.92947	NA	NA	"F "	"juvenile"	""	""	"6"	"33.2"	2024-09-26	"MYCI"	"yes"	25177	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531	"bats"	2025-02-20	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-09291"	"Angel-MinION"	2	3	1500	10	15	"yes"	50
"NWR-104"	"NWR-104-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-11-13	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	NA	0	NA	NA	0.3	"J. O'Keefe (IN, IL)"	""	"y"	"11/13/24"	""	40.434158	-92.986717	""	""	"F"	"A"	"PL"	"ND"	"21.5"	"48"	NA	""	"no"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-105"	"NWR-105-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-11-13	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	NA	0	NA	NA	0.6	"J. O'Keefe (IN, IL)"	""	"y"	"11/13/24"	""	40.434158	-92.986717	""	""	"F"	"J"	"NR"	"ND"	"16.1"	"44"	NA	""	"no"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NWR-106"	"NWR-106-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	2024-11-13	"TR"	"Zymo Quick-DNA Fecal/Soil Microbe"	"NWR Bat DNA Extracts Box 1"	NA	NA	0	NA	NA	0.3	"J. O'Keefe (IN, IL)"	""	"y"	"11/13/24"	""	40.434158	-92.986717	""	""	"F"	"J"	"NR"	""	"14.6"	"45"	NA	""	"no"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
